ProteinID_GeneName,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Age,73,49,66,61,44,64,48,54,54,69,62,74,54,35,39,63,24,41,62,57,76,62,66,52,46,46,55,68,68,71,63,35,65,65,65,52,63,53,66,61,66,56,48,48,57,54,46,56
Height,182,177,158,165,182,173,165,192,188,183,173,159,180,178,180,168,180,188,150,178,165,174,187,177,159,159,160,179,164,170,176,176,164,166,163,176,174,174,179.5,157.5,160,180,162,162,166,193,173,172
Weight,92,90,72,114.5,97.5,84,77.4,102,105,89,75.8,66.7,125,100,92,76,80.5,99,82,109.5,71.5,65,99,87,66,69,NaN,81,75.5,79,87,105,102,81,83,95,91,84,104,72,76,95,68,63,64.3,95,62,65
BMI,27.7744,29,29,42,29,28,28,28,30,27,25,26,39,32,28,27,25,28,36,35,26,21,28,28,26,27,NaN,25,28,27,28,34,38,29,31,31,30,28,32,29,30,29,26,24,23,26,21,22
systolic,157,134,143,141,123,141,127,112,132,150,118,148,138,125,120,150,149,160,153,142,136,134,180,150,135,128,108,124,159,144,153,136,171,177,133,128,149,140,123,123,128,146,102,97,111,148,124,110
diastolic,83,95,97,93,76,75,77,74,83,76,66,94,98,75,82,96,85,98,84,88,81,75,102,84,89,81,73,80,80,78,93,94,86,94,83,84,84,95,75,84,75,78,53,68,65,66,79,64
waist circumsference,108,108,90,134,102,97,99,105,113,100,106,96,126,100,104,96,89,161,116,120,92,88,106,96,91,92,114,NaN,94,99,105,NaN,124,NaN,104,110,108,NaN,117,104,108,110,98,94,91,100,86,93
Fasting glucose,5.07,6.09,4.93,5.33,4.8,5.16,5.04,5.67,5.17,5.58,5.11,5.8,6.21,5.58,5.61,5.83,5.29,5.21,5.83,6.13,8.25,7.71,6.77,9.11,7.55,8.52,11.2,6.77,8.87,6.78,10,7.57,9.15,10.6,10,8.51,13.9,12,7.24,6.71,5.34,5.94,5.16,5.46,5.89,6.65,4.75,5.69
Platelet,227,261,228,306,377,313,367,330,244,133,286,306,338,259,209,304,407,220,300,244,220,249,248,227,322,291,226,360,173,220,130,178,408,354,236,274,373,294,248,335,384,145,429,40,393,97,408,209
Bilirubin,15,17,9,12,8,14,23,14,9,11,4,12,9,20,11,17,12,40,8,12,11,11,8,8,NaN,17,11,NaN,11,10,11,26,7,15,11,10,14,12,7,9,11,7,3,46,11,14,10,9
Albumin,40,45,42,42,43,42,45,42,44,43,46,45,47,43,43,47,48,44,43,42,43,44,49,47,42,45,45,44,43,48,44,43,40,46,39,44,44,41,47,39,48,41,6,39,44,45,42,45
ALT,24,27,18,22,18,25,23,25,30,25,103,46,234,101,81,71,145,54,23,58,53,14,28,40,20,29,NaN,47,125,130,75,153,68,43,44,118,108,78,27,15,41,25,17,44,33,56,90,31
AST,30,28,21,26,25,26,24,24,24,37,119,51,94,47,56,75,64,31,22,42,42,23,31,26,20,35,45,40,120,84,45,72,38,36,11,69,55,60,31,32,44,35,24,65,47,55,64,33
