ProteinID_GeneName,Protein ID,kleiner,Plasma Log2 intensity,Liver Log2 intensity,Gene name,coregulated,tissue specificity
A0A024R6I7_SERPINA1,A0A024R6I7,0,17.12823004,18.41343625,SERPINA1,not coregulated,liver specific
A0A075B6R9_IGKV2D-24,A0A075B6R9,0,18.27450216,15.386540300000002,IGKV2D-24,coregulated,not liver specific
A0A075B6S2_IGKV2D-29,A0A075B6S2,0,22.18321963,,IGKV2D-29,not coregulated,not liver specific
A0A087WTK0_PTPRJ,A0A087WTK0,0,13.04251273,22.6599673,PTPRJ,not coregulated,not liver specific
A0A087WWU8_TPM3,A0A087WWU8,0,12.31073376,19.87533029,TPM3,not coregulated,not liver specific
A0A087WXI5_CDH1,A0A087WXI5,0,12.11448626,16.21258599,CDH1,not coregulated,not liver specific
A0A087X0S5_COL6A1,A0A087X0S5,0,12.27328859,20.5123457,COL6A1,not coregulated,not liver specific
A0A087X1J7_GPX3,A0A087X1J7,0,17.30561127,16.15275248,GPX3,coregulated,not liver specific
A0A087X1W8_CADM1,A0A087X1W8,0,12.65634354,15.92139176,CADM1,not coregulated,not liver specific
A0A096LPE2_SAA2-SAA4,A0A096LPE2,0,18.71089818,17.13390129,SAA2-SAA4,not coregulated,liver specific
A0A0A0MRJ7_F5,A0A0A0MRJ7,0,15.828550199999999,14.23956525,F5,not coregulated,liver specific
A0A0A0MRZ8_IGKV3D-11,A0A0A0MRZ8,0,22.89399034,19.066954199999998,IGKV3D-11,not coregulated,not liver specific
A0A0A0MS09_IGHD,A0A0A0MS09,0,18.12150414,16.52517746,IGHD,not coregulated,not liver specific
A0A0A0MSD0_SVEP1,A0A0A0MSD0,0,12.1206016,16.72034435,SVEP1,not coregulated,not liver specific
A0A0A0MSV6_C1QB,A0A0A0MSV6,0,17.41255442,16.97114445,C1QB,not coregulated,not liver specific
A0A0B4J1V0_IGHV3-15,A0A0B4J1V0,0,17.43059315,,IGHV3-15,not coregulated,not liver specific
A0A0B4J231_IGLL5,A0A0B4J231,0,21.72477949,19.88437628,IGLL5,not coregulated,not liver specific
A0A0B4J2B5_IGHV3OR16-9,A0A0B4J2B5,0,21.40983982,18.02738732,IGHV3OR16-9,coregulated,not liver specific
A0A0C4DH34_IGHV4-28,A0A0C4DH34,0,15.741629000000001,14.56266064,IGHV4-28,not coregulated,not liver specific
A0A0C4DH38_IGHV5-51,A0A0C4DH38,0,18.9796948,16.509686900000002,IGHV5-51,coregulated,not liver specific
A0A0C4DH43_IGHV2-70D,A0A0C4DH43,0,19.53040238,17.18750948,IGHV2-70D,not coregulated,not liver specific
A0A0C4DH72_IGKV1-6,A0A0C4DH72,0,18.52220454,,IGKV1-6,not coregulated,not liver specific
A0A0D9SEN1_FAP,A0A0D9SEN1,0,12.31126707,15.34571006,FAP,not coregulated,not liver specific
A0A0D9SFB5_ADH4,A0A0D9SFB5,0,13.71862715,25.49864815,ADH4,not coregulated,liver specific
A0A0G2JIW1_HSPA1B,A0A0G2JIW1,0,16.56681913,20.32025874,HSPA1B,not coregulated,not liver specific
A0A0G2JMB2_IGHA2,A0A0G2JMB2,0,25.12510972,20.36895949,IGHA2,coregulated,not liver specific
A0A0J9YY99_,A0A0J9YY99,0,19.68854253,14.83379842,,coregulated,not liver specific
A0A0J9YYC8_PRSS2,A0A0J9YYC8,0,13.6153745,17.95801123,PRSS2,not coregulated,not liver specific
A0A0U1RR20_PRG4,A0A0U1RR20,0,14.87618414,15.27783304,PRG4,not coregulated,liver specific
A0A0U1RR32_HIST1H3D,A0A0U1RR32,0,13.95843501,18.15583142,HIST1H3D,not coregulated,not liver specific
A0A140T921_HLA-C,A0A140T921,0,16.33516161,15.68027325,HLA-C,not coregulated,not liver specific
A0A140TA41_TNXB,A0A140TA41,0,13.09984986,16.35685311,TNXB,not coregulated,not liver specific
A0A182DWH7_SELENOP,A0A182DWH7,0,17.30709326,16.88018639,SELENOP,not coregulated,not liver specific
A0A1B0GUU9_IGHM,A0A1B0GUU9,0,23.77931973,18.67185894,IGHM,not coregulated,not liver specific
A0A1W2PQB1_FCGR3A,A0A1W2PQB1,0,14.77711436,15.74190669,FCGR3A,not coregulated,not liver specific
A0A286YEY1_IGHA1,A0A286YEY1,0,24.8857419,19.96392022,IGHA1,coregulated,not liver specific
A0A286YFJ8_IGHG4,A0A286YFJ8,0,21.02185951,16.3513207,IGHG4,not coregulated,not liver specific
A0M8Q6_IGLC7,A0M8Q6,0,15.05183353,14.69582635,IGLC7,not coregulated,not liver specific
A6NC48_BST1,A6NC48,0,12.788316199999999,13.79365024,BST1,not coregulated,not liver specific
A6XND0_IGFBP3,A6XND0,0,15.72165402,14.40065113,IGFBP3,not coregulated,not liver specific
B0QYF8_MB,B0QYF8,0,10.52562003,16.97084991,MB,not coregulated,not liver specific
