Leading Gene name,Leading Protein ID,Median_cirrhosis,Median_nonNAFLD,Median_NAFLD,P-value [-Log10],Log2 difference,RNA tissue category,Significant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein IDs,Majority protein IDs,Protein names,Gene names
VCL,P18206,26.38169,26.76446,26.632275,1.207195249,-0.422126897,,,62,62,9,62.8,62.8,13.3,123.8,0,323.31,1.84E+11,510,P18206;A0A024QZN4;V9HWK2;B3KXA2;Q5JQ13;B4DKC9;B4DTM7;A0A096LPE1,P18206;A0A024QZN4;V9HWK2;B3KXA2;Q5JQ13,Vinculin,VCL;HEL114
C9,P02748,32.19211,32.19014,31.90983,0.371130219,-0.108659681,Tissue enriched,,28,28,28,50.6,50.6,50.6,63.173,0,323.31,1.90E+12,2244,P02748;A0A024R035;CON__Q3MHN2,P02748;A0A024R035,Complement component C9;Complement component C9a;Complement component C9b,C9
APOC1,K7ERI9,32.48352,32.85155,32.42592,2.611050378,-0.343820826,Tissue enriched,+,7,7,7,42.9,42.9,42.9,8.647,0,56.106,1.46E+12,937,K7ERI9;A0A024R0T8;P02654;K7EJI9;K7ELM9;K7EPF9;K7EKP1,K7ERI9;A0A024R0T8;P02654;K7EJI9;K7ELM9;K7EPF9,Apolipoprotein C-I;Truncated apolipoprotein C-I,APOC1
CNTN1,Q12860,24.882815,24.68646,24.821475,0.149421828,-0.08068712,,,35,35,35,44.3,44.3,44.3,113.32,0,323.31,81100000000,370,Q12860;A0A024R104;H0YIJ1;F8VUI9;F8VQW3;F8VX96;F8VUI8,Q12860;A0A024R104,Contactin-1,CNTN1
ALDOB,P05062,23.0982,23.62087,25.392485,0.658093855,-0.762819184,Group enriched,,14,14,14,50.5,50.5,50.5,39.473,0,241.99,47227000000,138,P05062;A0A024R145;A8K430;A0A087WXX2;Q8NHT3,P05062;A0A024R145;A8K430;A0A087WXX2;Q8NHT3,Fructose-bisphosphate aldolase B;Fructose-bisphosphate aldolase,ALDOB
APOL1,O14791,31.505385,31.89735,32.01311,1.686207956,-0.326127455,,,20,20,0,52,52,0,43.974,0,323.31,8.73E+11,1505,O14791;A0A024R1Q4;A0A024R1G8;U5LKM6;U5LI90;U5LH96;U5LGU2;U5LIH6;U5LHF6;U5LH46;U5LKT7;U5LKP5;U5LKJ0;U5LKH9;U5LIA9;U5LGY0;U5LIJ1;A0A1B2FJ89;A0A1B2FJP1;A0A1B2FJD8;A0A1B2FJC1;A0A1B2FJ11;A0A1B2FIW3;A0A1B2FIW1;A0A1B2FKD8;A0A1B2FK76;A0A1B2FK65;A0A1B2FK40;A0A1B2FK26;A0A1B2FJZ7;A0A1B2FJV6;A0A1B2FJU3;A0A1B2FJQ0;A0A1B2FJI3;A0A1B2FJH1;A0A1B2FJE5;A0A1B2FJD3;A0A1B2FJB2;A0A1B2FJB1;A0A1B2FJA9;A0A1B2FJ64;A0A1B2FJ38;A0A1B2FJ32;A0A1B2FJ21;A0A1B2FIY0;A0A1B2FIX3;A0A1B2FIW9;A0A1B2FK85;A0A1B2FK27;A0A1B2FJX9;A0A1B2FJS4;A0A1B2FJR1;A0A1B2FJK3;A0A1B2FJJ4;A0A1B2FJI7;A0A1B2FJ82;A0A1B2FIV9;A0A1B2FJD2;A0A1B2FJF7;A0A1B2FK87;A0A1B2FK47;A0A1B2FK36;A0A1B2FJW8;A0A1B2FJU6;A0A1B2FJU4;A0A1B2FJT1;A0A1B2FJF3;A0A1B2FJA7;A0A0S2Z4M8;A0A1B2FK30;A0A1B2FK07;A0A1B2FJW9;A0A1B2FJT3;A0A1B2FJS1;A0A1B2FJR5;A0A1B2FJK6;B1AH96;A0A0S2Z4X6;B1AH94;B1AH95;F8WCH3,O14791;A0A024R1Q4;A0A024R1G8;U5LKM6;U5LI90;U5LH96;U5LGU2;U5LIH6;U5LHF6;U5LH46;U5LKT7;U5LKP5;U5LKJ0;U5LKH9;U5LIA9;U5LGY0;U5LIJ1;A0A1B2FJ89;A0A1B2FJP1;A0A1B2FJD8;A0A1B2FJC1;A0A1B2FJ11;A0A1B2FIW3;A0A1B2FIW1;A0A1B2FKD8;A0A1B2FK76;A0A1B2FK65;A0A1B2FK40;A0A1B2FK26;A0A1B2FJZ7;A0A1B2FJV6;A0A1B2FJU3;A0A1B2FJQ0;A0A1B2FJI3;A0A1B2FJH1;A0A1B2FJE5;A0A1B2FJD3;A0A1B2FJB2;A0A1B2FJB1;A0A1B2FJA9;A0A1B2FJ64;A0A1B2FJ38;A0A1B2FJ32;A0A1B2FJ21;A0A1B2FIY0;A0A1B2FIX3;A0A1B2FIW9;A0A1B2FK85;A0A1B2FK27;A0A1B2FJX9;A0A1B2FJS4;A0A1B2FJR1;A0A1B2FJK3;A0A1B2FJJ4;A0A1B2FJI7;A0A1B2FJ82;A0A1B2FIV9;A0A1B2FJD2;A0A1B2FJF7;A0A1B2FK87;A0A1B2FK47;A0A1B2FK36;A0A1B2FJW8;A0A1B2FJU6;A0A1B2FJU4;A0A1B2FJT1;A0A1B2FJF3;A0A1B2FJA7,Apolipoprotein L1,APOL1
CLEC3B,E9PHK0,28.866585,28.86231,28.79926,0.035900074,-0.00982151,,,9,9,1,77.5,77.5,13.1,17.794,0,323.31,6.40E+11,936,E9PHK0;A0A024R2Q7;P05452;CON__Q2KIS7,E9PHK0;A0A024R2Q7;P05452,Tetranectin,CLEC3B
APOA1,P02647,37.74597,37.69177,37.7491,0.428987621,0.064529334,Tissue enhanced,,48,48,44,89.1,89.1,84.3,30.777,0,323.31,5.27E+13,12585,P02647;A0A024R3E3;F8W696;Q9Y355;CON__P15497,P02647;A0A024R3E3;F8W696,Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,APOA1
MCAM,P43121,23.864575,23.52253,23.528305,0.802578094,0.249301232,,,17,17,17,32.7,32.7,32.7,71.607,0,323.31,1.18E+11,258,P43121;B3KXZ9;A0A024R3I5;B2R642;A8K6A6,P43121;B3KXZ9;A0A024R3I5;B2R642;A8K6A6,Cell surface glycoprotein MUC18,MCAM
NRP2,O60462,27.63712,27.38278,27.63891,0.311451149,0.26053897,,,23,23,23,29.1,29.1,29.1,104.86,0,59.347,33464000000,69,O60462;A0A024R412;A0A024R3W6;X5D7M1;Q7LBX6;X5D2Q8;B7ZL68;Q7Z3T9;A8K4G9;C9JH98;Q96GU8,O60462;A0A024R412;A0A024R3W6;X5D7M1;Q7LBX6;X5D2Q8;B7ZL68;Q7Z3T9;A8K4G9,Neuropilin-2,NRP2;DKFZp686J1169
IGFBP5,P24593,22.754165,22.28915,22.07747,0.648779662,0.587854025,,,6,6,6,23.5,23.5,23.5,30.57,0,93.742,14106000000,80,P24593;A0A024R433;C9JXX4,P24593;A0A024R433;C9JXX4,Insulin-like growth factor-binding protein 5,IGFBP5
CYB5R3,P00387,26.76112,26.95394,26.91137,0.023003892,0.075124656,,,2,2,2,4,4,4,34.234,0.0010875,3.5372,18902000000,4,P00387;Q6ZVI6;A0A024R4X0,P00387;Q6ZVI6;A0A024R4X0,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form;NADH-cytochrome b5 reductase,CYB5R3
ACTN1,P12814,25.147415,24.92705,25.23698,0.348505091,0.335726653,,,44,44,31,58.5,58.5,43.4,103.06,0,323.31,78964000000,254,P12814;A0A024R694;H9KV75;B7Z565;Q86TX4;B4DFY0;B3KUX9;B7Z2W3;A1L0V1;H7C5W8;G3V2N5;G3V2W4;H0YJW3;B4DRP5;P35609;H0YJ11;B7Z2N5;Q08043;Q5ZEZ4;G3V5M4;B7Z4P6;Q59FD9;B7Z4K1;F6THM6;B2R8Y4;B4DZQ2;A0A087WSZ2;G3V2X9;B7Z4V1;G3V2E8;G3V380;B7Z4P8;Q4JCP9;Q4VAM3,P12814;A0A024R694;H9KV75;B7Z565;Q86TX4;B4DFY0,Alpha-actinin-1,ACTN1
SERPINA10,Q9UK55,27.56046,27.71293,27.830905,1.243348936,-0.334143851,Tissue enriched,,22,22,2,62.8,62.8,5.9,50.706,0,323.31,3.75E+11,635,Q9UK55;A0A024R6I6;G3V2W1;CON__ENSEMBL:ENSBTAP00000013050,Q9UK55;A0A024R6I6;G3V2W1,Protein Z-dependent protease inhibitor,SERPINA10
SERPINA1,A0A024R6I7,37.518735,37.28967,37.30674,2.585445377,0.24461458,Tissue enriched,+,33,33,1,68.2,68.2,3.8,46.708,0,323.31,2.95E+13,8477,A0A024R6I7;A0A0G2JRN3;Q13747;Q9P173;G3V2B9;C5J0G2;B2D098;A7L8C6;C1KH65;A0A0S2Z465;G3V544;G3V5R8;G3V387;A0A0B4J278;P20848;S4UD68;A0A0G2JPK4,A0A024R6I7;A0A0G2JRN3;Q13747,,SERPINA1
SERPINA4,P29622,30.588715,30.69644,30.761205,2.162761428,-0.223011504,Tissue enhanced,,24,24,24,57.1,57.1,57.1,48.541,0,323.31,1.17E+12,2352,P29622;B2R815;A0A024R6I9,P29622;B2R815;A0A024R6I9,Kallistatin,SERPINA4
SERPINA5,P05154,27.67303,28.1795,28.237615,0.482447689,-0.519192314,Tissue enhanced,,15,15,15,37.4,37.4,37.4,45.674,0,323.31,1.45E+11,548,P05154;A0A024R6N9;B4DPC7;B3KTV6;G3V5Q9;B4DDH1;G3V2M1;G3V264;G3V482;G3V265;G3V5I3;G3V4B4;G3V3F5,P05154;A0A024R6N9;B4DPC7;B3KTV6;G3V5Q9;B4DDH1,Plasma serine protease inhibitor,SERPINA5
SERPINA3,P01011,34.696845,34.77999,34.57791,0.222361445,-0.040636147,Group enriched,,51,51,23,79,79,36.6,47.65,0,323.31,1.48E+13,10008,P01011;A0A024R6P0;B3KS79;G3V595,P01011;A0A024R6P0;B3KS79;G3V595,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3
MMP2,P08253,23.1337,22.59808,22.865235,0.820064246,0.699165238,,,15,15,15,31.2,31.2,31.2,73.881,0,112.47,18335000000,74,P08253;A0A024R6R4;H3BR66;H3BS34;H3BV48;P09237;Q53GF1,P08253;A0A024R6R4,72 kDa type IV collagenase;PEX,MMP2
MET,P08581,26.73379,25.74407,26.11717,1.945252262,0.799888484,,,19,19,19,14.1,14.1,14.1,155.54,0,48.209,1.34E+11,75,P08581;A0A024R759;E6Y365;A0A024R728;B5A929;B5A930;B4DLF5;B5A931;B5A936;Q59EB3;B5A934;B5A938;B5A933;B5A937;H7C174;B5A941;B5A939;B5A935;B5A942;B5A940;B5A943;H7C130;C9JKM5,P08581;A0A024R759;E6Y365;A0A024R728;B5A929;B5A930;B4DLF5;B5A931;B5A936;Q59EB3;B5A934,Hepatocyte growth factor receptor;Receptor protein-tyrosine kinase,MET
ICAM3,P32942,22.84924,21.8169,22.96912,0.838627294,0.781908841,,,5,5,5,10.2,10.2,10.2,59.54,0,16.942,9728700000,48,P32942;Q5NKU1;A0A024R7C1;K7ERN2;B2R736;B7Z6W6;K7EQC7;K7EP52,P32942;Q5NKU1;A0A024R7C1;K7ERN2;B2R736;B7Z6W6,Intercellular adhesion molecule 3,ICAM3;hCG_2033729
TNC,A0A024R884,29.39439,29.25124,29.422685,0.717303731,0.420869255,,,56,56,2,37.4,37.4,1,240.91,0,323.31,2.68E+11,321,A0A024R884;Q4LE33;Q6MZI1,A0A024R884;Q4LE33,,TNC;TNC variant protein
PTGDS,P41222,24.700565,24.36453,24.545975,0.242259701,0.289643224,,,6,6,6,50,50,50,21.029,0,215.65,1.12E+11,186,P41222;A0A024R8G3;H0Y5A1;Q5SQ11,P41222;A0A024R8G3;H0Y5A1;Q5SQ11,Prostaglandin-H2 D-isomerase,PTGDS
